scenario,d,rho,seed,detector,precision,recall,f1,auc,latency_ns
correlation_flip,10,0.75,11,stream,0.897143,0.489097,0.633065,0.880370,918.4
correlation_flip,10,0.75,11,adaptive_0.85,0.676190,0.663551,0.669811,0.880370,806.0
correlation_flip,10,0.75,11,offline,0.831502,0.707165,0.764310,0.918915,0.0
correlation_flip,10,0.75,11,three_sigma,0.156863,0.024922,0.043011,0.489400,0.0
correlation_flip,10,0.75,12,stream,0.904040,0.523392,0.662963,0.870963,740.5
correlation_flip,10,0.75,12,adaptive_0.85,0.733333,0.675439,0.703196,0.870963,556.5
correlation_flip,10,0.75,12,offline,0.880282,0.730994,0.798722,0.907882,0.0
correlation_flip,10,0.75,12,three_sigma,0.204082,0.029240,0.051151,0.510758,0.0
correlation_flip,10,0.75,13,stream,0.910448,0.500000,0.645503,0.872516,937.5
correlation_flip,10,0.75,13,adaptive_0.85,0.707965,0.655738,0.680851,0.872516,828.7
correlation_flip,10,0.75,13,offline,0.877133,0.702186,0.779970,0.915082,288.5
correlation_flip,10,0.75,13,three_sigma,0.170213,0.021858,0.038741,0.487543,229.4
correlation_flip,10,0.75,14,stream,0.841808,0.495017,0.623431,0.851261,565.1
correlation_flip,10,0.75,14,adaptive_0.85,0.584848,0.641196,0.611727,0.851261,702.8
correlation_flip,10,0.75,14,offline,0.824490,0.671096,0.739927,0.890472,273.5
correlation_flip,10,0.75,14,three_sigma,0.142857,0.029900,0.049451,0.465401,240.8
correlation_flip,10,0.75,15,stream,0.886010,0.483051,0.625229,0.869178,767.8
correlation_flip,10,0.75,15,adaptive_0.85,0.646113,0.680791,0.662999,0.869178,758.7
correlation_flip,10,0.75,15,offline,0.884892,0.694915,0.778481,0.913981,706.5
correlation_flip,10,0.75,15,three_sigma,0.157895,0.025424,0.043796,0.480182,0.0
correlation_flip,10,0.75,16,stream,0.888298,0.485465,0.627820,0.868354,466.5
correlation_flip,10,0.75,16,adaptive_0.85,0.710611,0.642442,0.674809,0.868354,1184.6
correlation_flip,10,0.75,16,offline,0.869091,0.694767,0.772213,0.916531,1215.0
correlation_flip,10,0.75,16,three_sigma,0.134615,0.020349,0.035354,0.467900,0.0
correlation_flip,10,0.75,17,stream,0.900498,0.507003,0.648746,0.855852,711.0
correlation_flip,10,0.75,17,adaptive_0.85,0.663818,0.652661,0.658192,0.855852,665.5
correlation_flip,10,0.75,17,offline,0.892989,0.677871,0.770701,0.901774,229.4
correlation_flip,10,0.75,17,three_sigma,0.176471,0.025210,0.044118,0.495361,286.6
correlation_flip,10,0.75,18,stream,0.913978,0.524691,0.666667,0.890455,479.0
correlation_flip,10,0.75,18,adaptive_0.85,0.625000,0.679012,0.650888,0.890455,771.2
correlation_flip,10,0.75,18,offline,0.889328,0.694444,0.779896,0.927247,0.0
correlation_flip,10,0.75,18,three_sigma,0.142857,0.021605,0.037534,0.519741,0.0
correlation_flip,10,0.75,19,stream,0.890805,0.500000,0.640496,0.873857,545.8
correlation_flip,10,0.75,19,adaptive_0.85,0.675241,0.677419,0.676329,0.873857,697.5
correlation_flip,10,0.75,19,offline,0.850394,0.696774,0.765957,0.908435,0.0
correlation_flip,10,0.75,19,three_sigma,0.065217,0.009677,0.016854,0.486076,0.0
correlation_flip,10,0.75,20,stream,0.922280,0.489011,0.639138,0.871223,656.5
correlation_flip,10,0.75,20,adaptive_0.85,0.700880,0.656593,0.678014,0.871223,993.0
correlation_flip,10,0.75,20,offline,0.884354,0.714286,0.790274,0.920832,0.0
correlation_flip,10,0.75,20,three_sigma,0.200000,0.019231,0.035088,0.527912,0.0
correlation_flip,10,0.75,21,stream,0.918782,0.521614,0.665441,0.886246,908.6
correlation_flip,10,0.75,21,adaptive_0.85,0.729299,0.659942,0.692890,0.886246,826.6
correlation_flip,10,0.75,21,offline,0.851485,0.743516,0.793846,0.926165,233.2
correlation_flip,10,0.75,21,three_sigma,0.189655,0.031700,0.054321,0.538292,0.0
correlation_flip,10,0.75,22,stream,0.886010,0.501466,0.640449,0.869535,1131.5
correlation_flip,10,0.75,22,adaptive_0.85,0.682635,0.668622,0.675556,0.869535,561.9
correlation_flip,10,0.75,22,offline,0.844523,0.700880,0.766026,0.910900,0.0
correlation_flip,10,0.75,22,three_sigma,0.094340,0.014663,0.025381,0.513768,0.0
correlation_flip,10,0.75,23,stream,0.896907,0.517857,0.656604,0.879910,1456.8
correlation_flip,10,0.75,23,adaptive_0.85,0.623269,0.669643,0.645624,0.879910,1249.4
correlation_flip,10,0.75,23,offline,0.816949,0.717262,0.763867,0.924765,454.4
correlation_flip,10,0.75,23,three_sigma,0.191489,0.026786,0.046997,0.499495,0.0
correlation_flip,10,0.75,24,stream,0.888889,0.515337,0.652427,0.877729,203.7
correlation_flip,10,0.75,24,adaptive_0.85,0.669725,0.671779,0.670750,0.877729,541.9
correlation_flip,10,0.75,24,offline,0.854478,0.702454,0.771044,0.915873,0.0
correlation_flip,10,0.75,24,three_sigma,0.075000,0.009202,0.016393,0.510908,229.5
correlation_flip,10,0.75,25,stream,0.852041,0.506061,0.634981,0.863904,963.8
correlation_flip,10,0.75,25,adaptive_0.85,0.632353,0.651515,0.641791,0.863904,848.0
correlation_flip,10,0.75,25,offline,0.802676,0.727273,0.763116,0.906712,735.0
correlation_flip,10,0.75,25,three_sigma,0.196970,0.039394,0.065657,0.507156,0.0
correlation_flip,10,0.75,26,stream,0.865922,0.498392,0.632653,0.880661,534.9
correlation_flip,10,0.75,26,adaptive_0.85,0.655172,0.672026,0.663492,0.880661,687.4
correlation_flip,10,0.75,26,offline,0.817829,0.678457,0.741652,0.922482,0.0
correlation_flip,10,0.75,26,three_sigma,0.158730,0.032154,0.053476,0.509909,0.0
correlation_flip,10,0.75,27,stream,0.912371,0.516035,0.659218,0.880506,741.5
correlation_flip,10,0.75,27,adaptive_0.85,0.692082,0.688047,0.690058,0.880506,1668.0
correlation_flip,10,0.75,27,offline,0.846154,0.705539,0.769475,0.923975,0.0
correlation_flip,10,0.75,27,three_sigma,0.152174,0.020408,0.035990,0.469827,299.5
correlation_flip,10,0.75,28,stream,0.859375,0.514019,0.643275,0.859332,341.2
correlation_flip,10,0.75,28,adaptive_0.85,0.687500,0.616822,0.650246,0.859332,531.0
correlation_flip,10,0.75,28,offline,0.821705,0.660436,0.732297,0.902891,715.0
correlation_flip,10,0.75,28,three_sigma,0.104167,0.015576,0.027100,0.480537,0.0
correlation_flip,10,0.75,29,stream,0.892857,0.530303,0.665399,0.880862,409.4
correlation_flip,10,0.75,29,adaptive_0.85,0.731148,0.675758,0.702362,0.880862,742.1
correlation_flip,10,0.75,29,offline,0.821549,0.739394,0.778309,0.923713,410.7
correlation_flip,10,0.75,29,three_sigma,0.159091,0.021212,0.037433,0.528206,0.0
elliptical,10,0.75,0,stream,0.381579,0.087349,0.142157,0.620403,325.4
elliptical,10,0.75,0,adaptive_0.85,0.295302,0.265060,0.279365,0.620403,1919.1
elliptical,10,0.75,0,offline,0.436893,0.135542,0.206897,0.635603,0.0
elliptical,10,0.75,0,three_sigma,0.151515,0.030120,0.050251,0.510412,246.3
elliptical,10,0.75,1,stream,0.614286,0.132716,0.218274,0.634922,761.0
elliptical,10,0.75,1,adaptive_0.85,0.345133,0.240741,0.283636,0.634922,1206.2
elliptical,10,0.75,1,offline,0.630435,0.179012,0.278846,0.666989,1691.5
elliptical,10,0.75,1,three_sigma,0.232143,0.040123,0.068421,0.500484,262.4
elliptical,10,0.75,2,stream,0.463768,0.093294,0.155340,0.574780,687.9
elliptical,10,0.75,2,adaptive_0.85,0.351351,0.151603,0.211813,0.574780,766.8
elliptical,10,0.75,2,offline,0.505882,0.125364,0.200935,0.595602,234.9
elliptical,10,0.75,2,three_sigma,0.117647,0.017493,0.030457,0.490148,0.0
elliptical,10,0.75,3,stream,0.450704,0.099379,0.162850,0.608029,925.3
elliptical,10,0.75,3,adaptive_0.85,0.291480,0.201863,0.238532,0.608029,649.6
elliptical,10,0.75,3,offline,0.500000,0.142857,0.222222,0.618639,0.0
elliptical,10,0.75,3,three_sigma,0.162791,0.021739,0.038356,0.517521,313.5
elliptical,10,0.75,4,stream,0.426667,0.095808,0.156479,0.601190,696.7
elliptical,10,0.75,4,adaptive_0.85,0.285171,0.224551,0.251256,0.601190,1137.9
elliptical,10,0.75,4,offline,0.516484,0.140719,0.221176,0.622568,0.0
elliptical,10,0.75,4,three_sigma,0.153846,0.029940,0.050125,0.501757,0.0
elliptical,10,0.75,5,stream,0.519481,0.123077,0.199005,0.591631,584.3
elliptical,10,0.75,5,adaptive_0.85,0.314894,0.227692,0.264286,0.591631,963.2
elliptical,10,0.75,5,offline,0.550000,0.135385,0.217284,0.610795,0.0
elliptical,10,0.75,5,three_sigma,0.163265,0.024615,0.042781,0.497475,0.0
elliptical,10,0.75,6,stream,0.485294,0.099698,0.165414,0.602746,1224.6
elliptical,10,0.75,6,adaptive_0.85,0.299539,0.196375,0.237226,0.602746,477.1
elliptical,10,0.75,6,offline,0.533333,0.169184,0.256881,0.633009,913.0
elliptical,10,0.75,6,three_sigma,0.139535,0.018127,0.032086,0.490690,0.0
elliptical,10,0.75,7,stream,0.569620,0.133136,0.215827,0.610607,1374.4
elliptical,10,0.75,7,adaptive_0.85,0.356808,0.224852,0.275862,0.610607,717.6
elliptical,10,0.75,7,offline,0.563636,0.183432,0.276786,0.638055,230.4
elliptical,10,0.75,7,three_sigma,0.135593,0.023669,0.040302,0.501490,0.0
elliptical,10,0.75,8,stream,0.527027,0.112392,0.185273,0.602596,531.8
elliptical,10,0.75,8,adaptive_0.85,0.366197,0.224784,0.278571,0.602596,1731.0
elliptical,10,0.75,8,offline,0.583333,0.161383,0.252822,0.629919,0.0
elliptical,10,0.75,8,three_sigma,0.140625,0.025937,0.043796,0.493332,0.0
elliptical,10,0.75,9,stream,0.436620,0.091716,0.151589,0.600754,539.4
elliptical,10,0.75,9,adaptive_0.85,0.272059,0.218935,0.242623,0.600754,1376.9
elliptical,10,0.75,9,offline,0.517241,0.133136,0.211765,0.623221,0.0
elliptical,10,0.75,9,three_sigma,0.187500,0.026627,0.046632,0.495100,0.0
elliptical,10,0.75,10,stream,0.414286,0.095082,0.154667,0.611125,458.9
elliptical,10,0.75,10,adaptive_0.85,0.297436,0.190164,0.232000,0.611125,1331.7
elliptical,10,0.75,10,offline,0.457831,0.124590,0.195876,0.635176,255.6
elliptical,10,0.75,10,three_sigma,0.183333,0.036066,0.060274,0.494878,245.2
elliptical,10,0.75,11,stream,0.519481,0.124611,0.201005,0.608047,485.7
elliptical,10,0.75,11,adaptive_0.85,0.340336,0.252336,0.289803,0.608047,878.5
elliptical,10,0.75,11,offline,0.544554,0.171340,0.260664,0.621070,0.0
elliptical,10,0.75,11,three_sigma,0.145161,0.028037,0.046997,0.495757,0.0
elliptical,10,0.75,12,stream,0.452055,0.096491,0.159036,0.623825,705.9
elliptical,10,0.75,12,adaptive_0.85,0.336634,0.198830,0.250000,0.623825,703.0
elliptical,10,0.75,12,offline,0.567568,0.122807,0.201923,0.638793,0.0
elliptical,10,0.75,12,three_sigma,0.120000,0.017544,0.030612,0.514820,0.0
elliptical,10,0.75,13,stream,0.444444,0.098361,0.161074,0.593775,4994.3
elliptical,10,0.75,13,adaptive_0.85,0.314159,0.193989,0.239865,0.593775,1189.3
elliptical,10,0.75,13,offline,0.550562,0.133880,0.215385,0.623955,0.0
elliptical,10,0.75,13,three_sigma,0.163934,0.027322,0.046838,0.473619,0.0
elliptical,10,0.75,14,stream,0.456790,0.122924,0.193717,0.580162,492.3
elliptical,10,0.75,14,adaptive_0.85,0.305419,0.205980,0.246032,0.580162,790.3
elliptical,10,0.75,14,offline,0.473684,0.149502,0.227273,0.589553,0.0
elliptical,10,0.75,14,three_sigma,0.136986,0.033223,0.053476,0.467221,224.8
elliptical,10,0.75,15,stream,0.592105,0.127119,0.209302,0.595626,3048.4
elliptical,10,0.75,15,adaptive_0.85,0.332061,0.245763,0.282468,0.595626,1313.6
elliptical,10,0.75,15,offline,0.600000,0.152542,0.243243,0.610653,233.6
elliptical,10,0.75,15,three_sigma,0.103448,0.016949,0.029126,0.480971,0.0
elliptical,10,0.75,16,stream,0.520548,0.110465,0.182254,0.601729,912.2
elliptical,10,0.75,16,adaptive_0.85,0.333333,0.232558,0.273973,0.601729,556.9
elliptical,10,0.75,16,offline,0.605769,0.183140,0.281250,0.624417,457.7
elliptical,10,0.75,16,three_sigma,0.142857,0.026163,0.044226,0.498846,163.5
elliptical,10,0.75,17,stream,0.561644,0.114846,0.190698,0.579950,1477.5
elliptical,10,0.75,17,adaptive_0.85,0.338776,0.232493,0.275748,0.579950,1465.3
elliptical,10,0.75,17,offline,0.625000,0.154062,0.247191,0.598469,0.0
elliptical,10,0.75,17,three_sigma,0.136364,0.016807,0.029925,0.496905,0.0
elliptical,10,0.75,18,stream,0.525424,0.095679,0.161880,0.619765,578.8
elliptical,10,0.75,18,adaptive_0.85,0.299639,0.256173,0.276206,0.619765,687.0
elliptical,10,0.75,18,offline,0.594595,0.135802,0.221106,0.639713,565.0
elliptical,10,0.75,18,three_sigma,0.145455,0.024691,0.042216,0.506982,1140.7
elliptical,10,0.75,19,stream,0.473684,0.116129,0.186528,0.571929,1377.8
elliptical,10,0.75,19,adaptive_0.85,0.321212,0.170968,0.223158,0.571929,482.5
elliptical,10,0.75,19,offline,0.476744,0.132258,0.207071,0.588090,458.0
elliptical,10,0.75,19,three_sigma,0.044444,0.006452,0.011268,0.462379,0.0
elliptical,10,0.75,20,stream,0.597403,0.126374,0.208617,0.597240,1222.0
elliptical,10,0.75,20,adaptive_0.85,0.353909,0.236264,0.283361,0.597240,1156.4
elliptical,10,0.75,20,offline,0.606061,0.164835,0.259179,0.626758,235.6
elliptical,10,0.75,20,three_sigma,0.150000,0.016484,0.029703,0.505875,0.0
elliptical,10,0.75,21,stream,0.469880,0.112392,0.181395,0.613435,499.0
elliptical,10,0.75,21,adaptive_0.85,0.361905,0.219020,0.272890,0.613435,229.6
elliptical,10,0.75,21,offline,0.534653,0.155620,0.241071,0.628463,236.5
elliptical,10,0.75,21,three_sigma,0.125000,0.023055,0.038929,0.530269,0.0
elliptical,10,0.75,22,stream,0.511628,0.129032,0.206089,0.613026,498.5
elliptical,10,0.75,22,adaptive_0.85,0.347826,0.211144,0.262774,0.613026,1460.3
elliptical,10,0.75,22,offline,0.539216,0.161290,0.248307,0.628833,0.0
elliptical,10,0.75,22,three_sigma,0.135593,0.023460,0.040000,0.512233,234.6
elliptical,10,0.75,23,stream,0.428571,0.107143,0.171429,0.606546,724.9
elliptical,10,0.75,23,adaptive_0.85,0.270677,0.214286,0.239203,0.606546,902.0
elliptical,10,0.75,23,offline,0.445545,0.133929,0.205950,0.626172,241.8
elliptical,10,0.75,23,three_sigma,0.188679,0.029762,0.051414,0.506934,0.0
elliptical,10,0.75,24,stream,0.454545,0.107362,0.173697,0.591380,686.5
elliptical,10,0.75,24,adaptive_0.85,0.308824,0.128834,0.181818,0.591380,837.5
elliptical,10,0.75,24,offline,0.481928,0.122699,0.195599,0.605229,233.7
elliptical,10,0.75,24,three_sigma,0.073171,0.009202,0.016349,0.503470,0.0
elliptical,10,0.75,25,stream,0.439560,0.121212,0.190024,0.594058,2283.5
elliptical,10,0.75,25,adaptive_0.85,0.352679,0.239394,0.285199,0.594058,3699.8
elliptical,10,0.75,25,offline,0.483333,0.175758,0.257778,0.608026,230.2
elliptical,10,0.75,25,three_sigma,0.163934,0.030303,0.051151,0.495505,0.0
elliptical,10,0.75,26,stream,0.441558,0.109325,0.175258,0.617862,1490.8
elliptical,10,0.75,26,adaptive_0.85,0.328125,0.270096,0.296296,0.617862,4457.8
elliptical,10,0.75,26,offline,0.494737,0.151125,0.231527,0.637596,0.0
elliptical,10,0.75,26,three_sigma,0.166667,0.035370,0.058355,0.528055,0.0
elliptical,10,0.75,27,stream,0.426667,0.093294,0.153110,0.590936,1570.7
elliptical,10,0.75,27,adaptive_0.85,0.288000,0.209913,0.242833,0.590936,3646.1
elliptical,10,0.75,27,offline,0.489583,0.137026,0.214123,0.605020,0.0
elliptical,10,0.75,27,three_sigma,0.117647,0.017493,0.030457,0.469295,0.0
elliptical,10,0.75,28,stream,0.405405,0.093458,0.151899,0.586922,1345.7
elliptical,10,0.75,28,adaptive_0.85,0.361111,0.161994,0.223656,0.586922,700.1
elliptical,10,0.75,28,offline,0.421687,0.109034,0.173267,0.599454,808.5
elliptical,10,0.75,28,three_sigma,0.166667,0.024922,0.043360,0.494506,0.0
elliptical,10,0.75,29,stream,0.378049,0.093939,0.150485,0.649519,938.9
elliptical,10,0.75,29,adaptive_0.85,0.328829,0.221212,0.264493,0.649519,1513.4
elliptical,10,0.75,29,offline,0.462963,0.151515,0.228311,0.668289,405.6
elliptical,10,0.75,29,three_sigma,0.112903,0.021212,0.035714,0.521089,230.6
heavy_tail,10,0.75,0,stream,0.550218,0.379518,0.449198,0.785229,1143.3
heavy_tail,10,0.75,0,adaptive_0.85,0.513072,0.472892,0.492163,0.785229,1003.4
heavy_tail,10,0.75,0,offline,0.562914,0.512048,0.536278,0.834710,0.0
heavy_tail,10,0.75,0,three_sigma,0.181347,0.105422,0.133333,0.481259,423.6
heavy_tail,10,0.75,1,stream,0.534694,0.404321,0.460457,0.792259,1656.1
heavy_tail,10,0.75,1,adaptive_0.85,0.464088,0.518519,0.489796,0.792259,1244.5
heavy_tail,10,0.75,1,offline,0.558912,0.570988,0.564885,0.839177,260.9
heavy_tail,10,0.75,1,three_sigma,0.160000,0.098765,0.122137,0.476608,0.0
heavy_tail,10,0.75,2,stream,0.539749,0.376093,0.443299,0.796104,463.7
heavy_tail,10,0.75,2,adaptive_0.85,0.474474,0.460641,0.467456,0.796104,829.6
heavy_tail,10,0.75,2,offline,0.559078,0.565598,0.562319,0.849728,0.0
heavy_tail,10,0.75,2,three_sigma,0.143564,0.084548,0.106422,0.498552,264.7
heavy_tail,10,0.75,3,stream,0.537383,0.357143,0.429104,0.798502,644.4
heavy_tail,10,0.75,3,adaptive_0.85,0.549451,0.310559,0.396825,0.798502,1138.0
heavy_tail,10,0.75,3,offline,0.573585,0.472050,0.517888,0.828968,247.3
heavy_tail,10,0.75,3,three_sigma,0.108247,0.065217,0.081395,0.505599,0.0
heavy_tail,10,0.75,4,stream,0.547619,0.344311,0.422794,0.785347,483.8
heavy_tail,10,0.75,4,adaptive_0.85,0.460411,0.470060,0.465185,0.785347,1746.7
heavy_tail,10,0.75,4,offline,0.594937,0.422156,0.493870,0.820760,343.3
heavy_tail,10,0.75,4,three_sigma,0.172043,0.095808,0.123077,0.514729,248.6
heavy_tail,10,0.75,5,stream,0.510040,0.390769,0.442509,0.790283,637.5
heavy_tail,10,0.75,5,adaptive_0.85,0.466667,0.495385,0.480597,0.790283,542.9
heavy_tail,10,0.75,5,offline,0.541528,0.501538,0.520767,0.829891,720.4
heavy_tail,10,0.75,5,three_sigma,0.150485,0.095385,0.116761,0.489666,0.0
heavy_tail,10,0.75,6,stream,0.539906,0.347432,0.422794,0.796545,824.5
heavy_tail,10,0.75,6,adaptive_0.85,0.501832,0.413897,0.453642,0.796545,912.3
heavy_tail,10,0.75,6,offline,0.591398,0.498489,0.540984,0.836205,0.0
heavy_tail,10,0.75,6,three_sigma,0.155080,0.087613,0.111969,0.542586,249.8
heavy_tail,10,0.75,7,stream,0.590090,0.387574,0.467857,0.820359,1242.9
heavy_tail,10,0.75,7,adaptive_0.85,0.500000,0.502959,0.501475,0.820359,939.6
heavy_tail,10,0.75,7,offline,0.601881,0.568047,0.584475,0.868982,0.0
heavy_tail,10,0.75,7,three_sigma,0.172589,0.100592,0.127103,0.522359,230.1
heavy_tail,10,0.75,8,stream,0.543568,0.377522,0.445578,0.785227,578.8
heavy_tail,10,0.75,8,adaptive_0.85,0.484746,0.412104,0.445483,0.785227,761.4
heavy_tail,10,0.75,8,offline,0.540541,0.518732,0.529412,0.824711,233.6
heavy_tail,10,0.75,8,three_sigma,0.151376,0.095101,0.116814,0.487523,289.4
heavy_tail,10,0.75,9,stream,0.576577,0.378698,0.457143,0.804997,686.6
heavy_tail,10,0.75,9,adaptive_0.85,0.502941,0.505917,0.504425,0.804997,1401.9
heavy_tail,10,0.75,9,offline,0.590278,0.502959,0.543131,0.840650,0.0
heavy_tail,10,0.75,9,three_sigma,0.121827,0.071006,0.089720,0.489179,0.0
heavy_tail,10,0.75,10,stream,0.507042,0.354098,0.416988,0.780555,533.0
heavy_tail,10,0.75,10,adaptive_0.85,0.435294,0.485246,0.458915,0.780555,471.2
heavy_tail,10,0.75,10,offline,0.519856,0.472131,0.494845,0.825148,251.6
heavy_tail,10,0.75,10,three_sigma,0.128713,0.085246,0.102564,0.494878,257.0
heavy_tail,10,0.75,11,stream,0.542017,0.401869,0.461538,0.797765,0.0
heavy_tail,10,0.75,11,adaptive_0.85,0.492401,0.504673,0.498462,0.797765,794.3
heavy_tail,10,0.75,11,offline,0.569132,0.551402,0.560127,0.840838,0.0
heavy_tail,10,0.75,11,three_sigma,0.119792,0.071651,0.089669,0.480255,0.0
heavy_tail,10,0.75,12,stream,0.597458,0.412281,0.487889,0.807235,1060.3
heavy_tail,10,0.75,12,adaptive_0.85,0.520231,0.526316,0.523256,0.807235,743.6
heavy_tail,10,0.75,12,offline,0.605505,0.578947,0.591928,0.856453,0.0
heavy_tail,10,0.75,12,three_sigma,0.201031,0.114035,0.145522,0.521236,0.0
heavy_tail,10,0.75,13,stream,0.605505,0.360656,0.452055,0.786660,475.8
heavy_tail,10,0.75,13,adaptive_0.85,0.555911,0.475410,0.512518,0.786660,902.2
heavy_tail,10,0.75,13,offline,0.636986,0.508197,0.565350,0.834620,239.6
heavy_tail,10,0.75,13,three_sigma,0.148352,0.073770,0.098540,0.506197,0.0
heavy_tail,10,0.75,14,stream,0.480176,0.362126,0.412879,0.782682,1337.0
heavy_tail,10,0.75,14,adaptive_0.85,0.443750,0.471761,0.457327,0.782682,931.1
heavy_tail,10,0.75,14,offline,0.488294,0.485050,0.486667,0.823348,0.0
heavy_tail,10,0.75,14,three_sigma,0.124378,0.083056,0.099602,0.495447,0.0
heavy_tail,10,0.75,15,stream,0.524528,0.392655,0.449111,0.804959,505.6
heavy_tail,10,0.75,15,adaptive_0.85,0.495601,0.477401,0.486331,0.804959,927.0
heavy_tail,10,0.75,15,offline,0.569405,0.567797,0.568600,0.853566,246.5
heavy_tail,10,0.75,15,three_sigma,0.151111,0.096045,0.117444,0.497103,234.6
heavy_tail,10,0.75,16,stream,0.511364,0.261628,0.346154,0.731565,1333.9
heavy_tail,10,0.75,16,adaptive_0.85,0.433775,0.380814,0.405573,0.731565,893.3
heavy_tail,10,0.75,16,offline,0.558824,0.497093,0.526154,0.818173,242.5
heavy_tail,10,0.75,16,three_sigma,0.189655,0.095930,0.127413,0.479117,0.0
heavy_tail,10,0.75,17,stream,0.596078,0.425770,0.496732,0.813586,693.4
heavy_tail,10,0.75,17,adaptive_0.85,0.509859,0.507003,0.508427,0.813586,917.7
heavy_tail,10,0.75,17,offline,0.602374,0.568627,0.585014,0.861397,257.5
heavy_tail,10,0.75,17,three_sigma,0.184080,0.103641,0.132616,0.506434,232.8
heavy_tail,10,0.75,18,stream,0.546218,0.401235,0.462633,0.793850,684.5
heavy_tail,10,0.75,18,adaptive_0.85,0.501567,0.493827,0.497667,0.793850,1454.2
heavy_tail,10,0.75,18,offline,0.576547,0.546296,0.561014,0.840720,0.0
heavy_tail,10,0.75,18,three_sigma,0.165000,0.101852,0.125954,0.509139,0.0
heavy_tail,10,0.75,19,stream,0.563063,0.403226,0.469925,0.800777,571.5
heavy_tail,10,0.75,19,adaptive_0.85,0.493631,0.500000,0.496795,0.800777,559.1
heavy_tail,10,0.75,19,offline,0.596721,0.587097,0.591870,0.848065,457.5
